+====================+===============================+========================================+
| Launch Setup Clock | Launch Hold Clock             | Pin                                    |
+====================+===============================+========================================+
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_2_reg[1][12]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_3_reg[0][12]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_2_reg[0][10]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_1_reg[0][10]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_2_reg[0][12]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_1_reg[1][10]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_2_reg[1][11]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_1_reg[1][8]/D  |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_3_reg[1][8]/D  |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_1_reg[0][8]/D  |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_0_reg[0][8]/D  |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_2_reg[0][8]/D  |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_2_reg[0][11]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_0_reg[1][8]/D  |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_2_reg[1][8]/D  |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_3_reg[0][8]/D  |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_2_reg[1][10]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_0_reg[1][10]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_0_reg[0][10]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_1_reg[1][12]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_0_reg[0][12]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_3_reg[1][12]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_3_reg[0][10]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_1_reg[0][12]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_3_reg[1][10]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_0_reg[1][12]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_0_reg[0][15]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_3_reg[1][15]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_2_reg[0][15]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_0_reg[1][15]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_1_reg[1][15]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_3_reg[0][15]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_1_reg[0][15]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_2_reg[1][15]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_2_reg[0][9]/D  |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_1_reg[0][9]/D  |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_0_reg[0][9]/D  |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_3_reg[1][9]/D  |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_1_reg[1][11]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_3_reg[1][11]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_3_reg[0][11]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_2_reg[1][9]/D  |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_0_reg[1][9]/D  |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_3_reg[0][9]/D  |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_0_reg[1][11]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_0_reg[0][11]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_1_reg[1][9]/D  |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_1_reg[0][11]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_3_reg[1][14]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_0_reg[0][14]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_1_reg[1][14]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_2_reg[0][14]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_2_reg[1][14]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_0_reg[1][14]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_1_reg[0][14]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_3_reg[0][14]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_1_reg[1][13]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_1_reg[0][13]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_3_reg[0][13]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_0_reg[0][13]/D |
| clk_100            | clk_out1_mb_block_clk_wiz_0_0 | PhraseData_1/PhraseRegs_0_reg[1][13]/D |
+--------------------+-------------------------------+----------------------------------------+
