Time_ns,Sine_Out,Sine_Out_Normalized
115000,0,0.000000
125000,0,0.000000
135000,2009,0.061310
145000,4011,0.122406
155000,5998,0.183044
165000,7962,0.242981
175000,9896,0.302002
185000,11793,0.359894
195000,13645,0.416412
205000,15446,0.471375
215000,17530,0.534973
225000,19195,0.585785
235000,20787,0.634369
245000,22301,0.680573
255000,23731,0.724213
265000,25072,0.765137
275000,26319,0.803192
285000,27466,0.838196
295000,28706,0.876038
305000,29621,0.903961
315000,30424,0.928467
325000,31113,0.949493
335000,31685,0.966949
345000,32137,0.980743
355000,32469,0.990875
365000,32678,0.997253
375000,32765,0.999908
385000,32678,0.997253
395000,32469,0.990875
405000,32137,0.980743
415000,31685,0.966949
425000,31113,0.949493
435000,30424,0.928467
445000,29621,0.903961
455000,28706,0.876038
465000,27466,0.838196
475000,26319,0.803192
485000,25072,0.765137
495000,23731,0.724213
505000,22301,0.680573
515000,20787,0.634369
525000,19195,0.585785
535000,17530,0.534973
545000,15446,0.471375
555000,13645,0.416412
565000,11793,0.359894
575000,9896,0.302002
585000,7962,0.242981
595000,5998,0.183044
605000,4011,0.122406
615000,2009,0.061310
625000,0,0.000000
635000,-2009,-0.061310
645000,-4011,-0.122406
655000,-5998,-0.183044
665000,-7962,-0.242981
675000,-9896,-0.302002
685000,-11793,-0.359894
695000,-13645,-0.416412
705000,-15446,-0.471375
715000,-17530,-0.534973
725000,-19195,-0.585785
735000,-20787,-0.634369
745000,-22301,-0.680573
755000,-23731,-0.724213
765000,-25072,-0.765137
775000,-26319,-0.803192
785000,-27466,-0.838196
795000,-28706,-0.876038
805000,-29621,-0.903961
815000,-30424,-0.928467
825000,-31113,-0.949493
835000,-31685,-0.966949
845000,-32137,-0.980743
855000,-32469,-0.990875
865000,-32678,-0.997253
875000,-32765,-0.999908
885000,-32678,-0.997253
895000,-32469,-0.990875
905000,-32137,-0.980743
915000,-31685,-0.966949
925000,-31113,-0.949493
935000,-30424,-0.928467
945000,-29621,-0.903961
955000,-28706,-0.876038
965000,-27466,-0.838196
975000,-26319,-0.803192
985000,-25072,-0.765137
995000,-23731,-0.724213
1005000,-22301,-0.680573
1015000,-20787,-0.634369
1025000,-19195,-0.585785
1035000,-17530,-0.534973
1045000,-15446,-0.471375
1055000,-13645,-0.416412
1065000,-11793,-0.359894
1075000,-9896,-0.302002
1085000,-7962,-0.242981
1095000,-5998,-0.183044
1105000,-4011,-0.122406
1115000,-2009,-0.061310
1125000,0,0.000000
1135000,2009,0.061310
1145000,4011,0.122406
1155000,5998,0.183044
1165000,7962,0.242981
1175000,9896,0.302002
1185000,11793,0.359894
1195000,13645,0.416412
1205000,15446,0.471375
1215000,17530,0.534973
1225000,19195,0.585785
1235000,20787,0.634369
1245000,22301,0.680573
1255000,23731,0.724213
1265000,25072,0.765137
1275000,26319,0.803192
1285000,27466,0.838196
1295000,28706,0.876038
1305000,29621,0.903961
1315000,30424,0.928467
1325000,31113,0.949493
1335000,31685,0.966949
1345000,32137,0.980743
1355000,32469,0.990875
1365000,32678,0.997253
1375000,32765,0.999908
1385000,32678,0.997253
1395000,32469,0.990875
1405000,32137,0.980743
1415000,31685,0.966949
1425000,31113,0.949493
1435000,30424,0.928467
1445000,29621,0.903961
1455000,28706,0.876038
1465000,27466,0.838196
1475000,26319,0.803192
1485000,25072,0.765137
1495000,23731,0.724213
1505000,22301,0.680573
1515000,20787,0.634369
1525000,19195,0.585785
1535000,17530,0.534973
1545000,15446,0.471375
1555000,13645,0.416412
1565000,11793,0.359894
1575000,9896,0.302002
1585000,7962,0.242981
1595000,5998,0.183044
1605000,4011,0.122406
1615000,2009,0.061310
1625000,0,0.000000
1635000,-2009,-0.061310
1645000,-4011,-0.122406
1655000,-5998,-0.183044
1665000,-7962,-0.242981
1675000,-9896,-0.302002
1685000,-11793,-0.359894
1695000,-13645,-0.416412
1705000,-15446,-0.471375
1715000,-17530,-0.534973
1725000,-19195,-0.585785
1735000,-20787,-0.634369
1745000,-22301,-0.680573
1755000,-23731,-0.724213
1765000,-25072,-0.765137
1775000,-26319,-0.803192
1785000,-27466,-0.838196
1795000,-28706,-0.876038
1805000,-29621,-0.903961
1815000,-30424,-0.928467
1825000,-31113,-0.949493
1835000,-31685,-0.966949
1845000,-32137,-0.980743
1855000,-32469,-0.990875
1865000,-32678,-0.997253
1875000,-32765,-0.999908
1885000,-32678,-0.997253
1895000,-32469,-0.990875
1905000,-32137,-0.980743
1915000,-31685,-0.966949
1925000,-31113,-0.949493
1935000,-30424,-0.928467
1945000,-29621,-0.903961
1955000,-28706,-0.876038
1965000,-27466,-0.838196
1975000,-26319,-0.803192
1985000,-25072,-0.765137
1995000,-23731,-0.724213
2005000,-22301,-0.680573
2015000,-20787,-0.634369
2025000,-19195,-0.585785
2035000,-17530,-0.534973
2045000,-15446,-0.471375
2055000,-13645,-0.416412
2065000,-11793,-0.359894
2075000,-9896,-0.302002
2085000,-7962,-0.242981
2095000,-5998,-0.183044
2105000,-4011,-0.122406
2115000,-2009,-0.061310
2125000,0,0.000000
2135000,2009,0.061310
2145000,4011,0.122406
2155000,5998,0.183044
2165000,7962,0.242981
2175000,9896,0.302002
2185000,11793,0.359894
2195000,13645,0.416412
2205000,15446,0.471375
2215000,17530,0.534973
2225000,19195,0.585785
2235000,20787,0.634369
2245000,22301,0.680573
2255000,23731,0.724213
2265000,25072,0.765137
2275000,26319,0.803192
2285000,27466,0.838196
2295000,28706,0.876038
2305000,29621,0.903961
2315000,30424,0.928467
2325000,31113,0.949493
2335000,31685,0.966949
2345000,32137,0.980743
2355000,32469,0.990875
2365000,32678,0.997253
2375000,32765,0.999908
2385000,32678,0.997253
2395000,32469,0.990875
2405000,32137,0.980743
2415000,31685,0.966949
2425000,31113,0.949493
2435000,30424,0.928467
2445000,29621,0.903961
2455000,28706,0.876038
2465000,27466,0.838196
2475000,26319,0.803192
2485000,25072,0.765137
2495000,23731,0.724213
2505000,22301,0.680573
2515000,20787,0.634369
